Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
NHSL2	-5.83348221	-1.85320454	-3.08948055	-6.3889059	-2.00539906	-3.58327479	-5.99101576	-1.95179306	-3.22008843
NKAP	-1.03647362	-0.00011113	-0.34209514	-1.55948436	-0.07312029	-0.68554953	-1.16705511	-0.0575828	-0.45688564
NKRF	-1.08808734	-3.995e-05	-0.274097	-1.63340733	-0.08263079	-0.70225421	-1.22204586	-0.05731017	-0.46553222
NLGN3	-1.01729838	-1.05e-06	-0.22751685	-1.54963932	-0.07390997	-0.63381654	-1.15029467	-0.05887015	-0.44350078
NLGN4X	-1.0536142	-2.572e-05	-0.31953174	-1.58157846	-0.07313124	-0.69310793	-1.18351897	-0.05726065	-0.42994976
NONO	-0.97231356	-8.66e-06	-0.30163609	-1.504464	-0.06793749	-0.6187428	-1.09850307	-0.05595388	-0.43279093
NOX1	-5.8842258	-2.08286951	-3.66076872	-6.43263342	-2.19620337	-4.37799249	-6.03067949	-2.17021238	-3.76175429
NR0B1	-1.49366478	-5.96e-06	-0.4547021	-2.07533801	-0.05702165	-0.88314624	-1.61220797	-0.0309051	-0.56906654
NRK	-1.3502959	-0.43968146	-0.91330251	-1.97063475	-0.71727653	-1.23430908	-1.42156743	-0.62728399	-1.04899547
NSDHL	-1.36670309	-1.691e-05	-0.40571447	-1.9459336	-0.07091923	-0.85892605	-1.49566442	-0.04435522	-0.54276401
NUDT10	-5.64237597	-0.48933117	-1.42254086	-6.12431744	-0.75735195	-1.81583105	-5.80267699	-0.61646518	-1.57293444
NUDT11	-4.97018272	-0.0002133	-0.63151103	-5.31187683	-0.01066853	-1.07125907	-5.32337257	-0.00655774	-0.76550699
NUP62CL	-5.73401634	-1.93401249	-2.70994495	-6.26854488	-2.11014035	-3.27723974	-5.88993622	-2.04614589	-2.84603937
NXF2B	-4.24787474	-0.00919664	-1.07606664	-5.17161199	-0.30867615	-1.44856374	-4.41842807	-0.15793443	-1.21710454
NXF3	-1.527653	-0.28754622	-0.93773304	-2.11277627	-0.5432464	-1.29460367	-1.62118651	-0.4511132	-1.12535932
NXF5	-5.89674056	-2.18578386	-3.76064106	-6.3867895	-2.3671413	-4.2108078	-6.03651204	-2.28851906	-3.8509087
NXT2	-4.02140733	-2.652e-05	-0.60965393	-4.32480305	-0.01591321	-1.0242662	-4.13902548	-0.00983671	-0.74073135
NYX	-2.90269425	-2.634e-05	-0.56040084	-4.7751029	-0.00219846	-0.97529913	-3.05905611	-0.00135594	-0.7333635
OCRL	-0.75808203	-6.27e-06	-0.15386342	-1.24434228	-0.04537512	-0.49268547	-0.86891492	-0.03932422	-0.30238892
OFD1	-2.62043871	-1.09003926	-1.63212014	-3.25422594	-1.46319361	-1.92569822	-2.72529069	-1.3096035	-1.72047082
OGT	-0.80969837	-2.45e-06	-0.19694692	-1.31208255	-0.05347768	-0.50759957	-0.92704053	-0.0458596	-0.32447608
OPHN1	-0.91961745	-4.1e-06	-0.206079	-1.43436651	-0.06246681	-0.64716783	-1.04252796	-0.05055155	-0.38418833
OPN1LW	-1.30728029	-9.2e-06	-0.34510001	-1.87321633	-0.07981473	-0.80051452	-1.43832881	-0.05225669	-0.52364609
OPN1MW	-5.84876749	-1.79119823	-3.73411516	-6.30408313	-1.99300916	-4.3069279	-5.98318579	-1.89032367	-3.86819321
OPN1MW2	-5.31218701	-0.00022951	-0.69272826	-5.87984332	-0.16067943	-1.12145152	-5.49531334	-0.05091044	-0.83760168
OR13H1	-5.89370308	-2.18404465	-4.61583347	-6.48326593	-2.29397268	-4.90455383	-6.04701356	-2.2697759	-4.76016053
OTC	-1.48440158	-0.10975315	-0.82623658	-2.06571772	-0.34005321	-1.18918972	-1.5898938	-0.26107038	-0.96001706
OTUD5	-1.08557716	-8.178e-05	-0.29503154	-1.62712449	-0.07902666	-0.66949074	-1.21741152	-0.05796431	-0.42154191
OTUD6A	-5.7260878	-0.27006398	-1.98392276	-6.25654463	-0.44693467	-4.27995371	-5.90575231	-0.36327825	-2.13595125
P2RY10	-2.85379519	-4.69e-05	-0.55687584	-3.75423173	-0.01091782	-0.98211826	-3.01004438	-0.00752415	-0.6824362
P2RY4	-5.85210328	-1.93281453	-2.92444181	-6.43961413	-2.04501217	-4.47748374	-6.01358304	-2.02687679	-3.07042548
PABPC5	-1.50628415	-5.64e-06	-0.42814372	-2.09920147	-0.05025463	-0.90660127	-1.62661701	-0.02690573	-0.53889559
PAGE1	-3.54435224	-7.05e-06	-0.57113377	-4.06336926	-0.00804814	-1.01046807	-3.60610759	-0.00487715	-0.70653759
PAGE2	-5.79601475	-0.72925152	-1.5205586	-6.25897158	-0.9498528	-1.96500299	-5.94458316	-0.84196025	-1.61608716
PAGE2B	-5.26636065	-3.72e-05	-0.65412705	-5.81651016	-0.12089663	-1.09147383	-5.43010016	-0.01750103	-0.79878705
PAGE3	-5.89295447	-1.68928516	-3.16783266	-6.38093428	-1.86374348	-4.2972943	-6.03870271	-1.78595139	-3.32842962
PAGE4	-5.13563878	-0.00013018	-0.65662076	-5.4026425	-0.03065701	-1.05065426	-5.31669037	-0.00654008	-0.78048066
PAGE5	-5.86706123	-1.7737889	-3.12263739	-6.34205249	-1.96739686	-4.15645242	-6.00421652	-1.87189808	-3.26080887
PAK3	-1.00569901	-9.09e-06	-0.29500601	-1.52850004	-0.06974433	-0.6472066	-1.13379606	-0.05438855	-0.4054871
PASD1	-1.47065747	-0.26473522	-0.89735017	-2.03919952	-0.52905682	-1.23689685	-1.55359187	-0.43213143	-1.06010972
PBDC1	-2.85150842	-2.501e-05	-0.53625264	-3.63033575	-0.00498591	-0.95711466	-3.00672789	-0.00494863	-0.67686457
