Gene	log10_ci_low	log10_ci_high	log10_map
METAP2	-2.4353636	-1.08703641	-1.59118212
METRN	-6.16550091	-1.3308083	-2.11147651
METRNL	-1.98075136	-0.01340646	-0.80286061
METTL1	-5.72463488	-0.69905673	-1.53933223
METTL10	-6.0426787	-1.7789226	-2.47660797
METTL11B	-6.25561081	-2.38011059	-3.86553975
METTL12	-6.2248605	-2.33404022	-3.67753236
METTL13	-5.52149801	-1.30471785	-2.00071682
METTL14	-2.22028844	-1.15664863	-1.5809966
METTL15	-6.06177486	-1.85800643	-2.50669687
METTL16	-1.48974723	-0.47854227	-1.0228953
METTL17	-5.75802159	-1.5033719	-2.06434455
METTL18	-6.02862434	-1.41228976	-2.00301697
METTL20	-6.11191766	-2.4142485	-3.21278769
METTL21A	-4.11767959	-0.16309146	-1.2441899
METTL21B	-6.17275932	-2.15331875	-3.62572456
METTL21C	-6.2144165	-2.18504619	-3.58365213
METTL22	-6.05052246	-2.01771976	-3.13947205
METTL23	-6.0652128	-1.37593152	-2.02808322
METTL24	-6.12780239	-2.15881841	-3.27300544
METTL25	-5.67250003	-1.4999151	-2.07276777
METTL2A	-6.16540856	-2.25173018	-3.56462548
METTL2B	-6.13442462	-2.1595367	-3.58251117
METTL3	-6.00906924	-2.0750817	-3.5863386
METTL4	-6.16489504	-2.22112936	-3.80940807
METTL5	-5.46592326	-0.60528442	-1.48669831
METTL6	-6.14171581	-1.92454303	-2.72592487
METTL7A	-6.02086177	-1.26700866	-1.93184382
METTL7B	-5.8162941	-0.46117101	-1.41497058
METTL8	-6.21786405	-2.28558204	-3.78337876
METTL9	-2.46966662	-0.19772353	-1.20958595
MEX3A	-1.53631546	-0.0837338	-0.71974144
MEX3B	-4.9984764	-0.25209078	-1.29310852
MEX3C	-1.27701806	-0.08915173	-0.61009045
MEX3D	-1.83991732	-0.0424586	-0.79887846
MFAP1	-1.36854074	-0.41860369	-0.94060727
MFAP2	-6.12718064	-1.89609018	-2.85373832
MFAP3	-6.08027255	-1.59508129	-2.33392093
MFAP3L	-1.47761761	-0.09481136	-0.68541652
MFAP4	-6.08903542	-1.92403445	-3.17869086
MFAP5	-5.79152704	-1.24600467	-1.84230633
MFF	-1.82932129	-0.76463723	-1.3100367
MFGE8	-6.22654478	-2.37553496	-3.64123508
MFHAS1	-3.99256152	-1.32272885	-1.84947149
MFI2	-6.01090351	-1.88135551	-2.5483582
MFN1	-2.67136356	-1.30946065	-1.74335959
MFN2	-1.40497526	-0.4398239	-0.95183638
MFNG	-6.04088436	-1.55504875	-2.14539968
MFRP	-6.07967587	-2.12626599	-3.31290141
MFSD1	-6.07389652	-1.96848014	-2.95968007
MFSD10	-6.16592894	-2.21656829	-3.80082762
MFSD11	-1.81796742	-0.56721744	-1.2311119
MFSD12	-6.1249815	-2.20327907	-3.82486566
MFSD2A	-1.93875377	-0.91178909	-1.39314356
MFSD2B	-6.03771426	-1.707456	-2.44978598
MFSD3	-6.22375091	-2.33892618	-3.83283772
MFSD4	-5.60485196	-1.29031871	-1.87213628
MFSD5	-3.66904497	-0.82476622	-1.5555982
MFSD6	-5.96310606	-1.68767655	-2.55937973
MFSD6L	-6.14236526	-2.19349972	-3.34401239
MFSD7	-6.11419338	-2.02057493	-3.18065573
MFSD8	-5.19787171	-1.19772013	-1.89466815
MFSD9	-6.13168372	-2.20775642	-3.6789833
